엊그제	엊그제/NNG
문제와	문제/NNG + 와/JKB
관련지어	관련짓/VV + 어/EC
또	또/MAG
하나	하나/NR
되새겨	되새기/VV + 어/EC
볼	보/VX + ㄹ/ETM
만한	만/NNB + 하/XSA + ㄴ/ETM
부분은	부분/NNG + 은/JX
이	이/MM
문제가	문제/NNG + 가/JKS
결국은	결국/NNG + 은/JX
일본의	일본/NNP + 의/JKG
핵무장	핵/NNG + 무장/NNG
가능성	가능/NNG + 성/XSN
등	등/NNB
군사	군사/NNG
대국화와	대국/NNG + 화/XSN + 와/JKB
무관할	무관/XR + 하/XSA + ㄹ/ETM
수만은	수/NNB + 만/JX + 은/JX
없다는	없/VA + 다는/ETM
점이다.	점/NNG + 이/VCP + 다/EF + ./SF

미국으로선	미국/NNP + 으로서/JKB + ㄴ/JX
북한의	북한/NNP + 의/JKG
핵무기	핵무기/NNG
보유를	보유/NNG + 를/JKO
중대한	중대/NNG + 하/XSA + ㄴ/ETM
'군사적위협'으로	'/SS + 군사/NNG + 적/XSN + 위협/NNG + '/SS + 으로/JKB
간주하고	간주/NNG + 하/XSV + 고/EC
있는	있/VX + 는/ETM
일본을	일본/NNP + 을/JKO
아우르기	아우르/VV + 기/ETN
위해선	위하/VV + 아서/EC + ㄴ/JX
어떤	어떤/MM
방법으로든	방법/NNG + 으로/JKB + 이/VCP + 든/EC
북한의	북한/NNP + 의/JKG
핵	핵/NNG
개발을	개발/NNG + 을/JKO
저지해야	저지/NNG + 하/XSV + 아야/EC
하는	하/VX + 는/ETM
절박한	절박/XR + 하/XSA + ㄴ/ETM
필요성을	필요/NNG + 성/XSN + 을/JKO
안고	안/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

파월	파월/NNP
합참	합참/NNG
의장이	의장/NNG + 이/JKS
SCM에	SCM/SL + 에/JKB
참석하기	참석/NNG + 하/XSV + 기/ETN
전	전/NNG
일본을	일본/NNP + 을/JKO
경유해	경유/NNG + 하/XSV + 아/EC
온	오/VX + ㄴ/ETM
것이나	것/NNB + 이나/JC
체니	체니/NNP
장관이	장관/NNG + 이/JKS
당초	당초/NNG
사흘간의	사흘간/NNG + 의/JKG
SCM	SCM/SL
일정을	일정/NNG + 을/JKO
하루	하루/NNG
단축한채	단축/NNG + 하/XSV + ㄴ/ETM + 채/NNB
부랴부랴	부랴부랴/MAG
일본에	일본/NNP + 에/JKB
달려간	달려가/VV + ㄴ/ETM
것도	것/NNB + 도/JX
북한	북한/NNP
핵	핵/NNG
문제의	문제/NNG + 의/JKG
'이면'을	'/SS + 이면/NNG + '/SS + 을/JKO
보여	보이/VV + 어/EC
주고	주/VX + 고/EC
있다는	있/VX + 다는/ETM
생각이다.	생각/NNG + 이/VCP + 다/EF + ./SF

건국대로부터	건국대/NNP + 로부터/JKB
걸어서	걷/VV + 어서/EC
15분	15/SN + 분/NNB
거리에	거리/NNG + 에/JKB
살고	살/VV + 고/EC
있는	있/VX + 는/ETM
송승희	송승희/NNP
씨(43·여·서울	씨/NNB + (/SS + 43/SN + ·/SP + 여/NNG + ·/SP + 서울/NNP
성동구	성동구/NNP
구의동)는	구의/NNP + 동/NNG + )/SS + 는/JX
사회	사회/NNG
전반에	전반/NNG + 에/JKB
깔린	깔리/VV + ㄴ/ETM
불신의	불신/NNG + 의/JKG
골이	골/NNG + 이/JKS
그렇게	그렇/VA + 게/EC
깊은	깊/VA + 은/ETM
줄은	줄/NNB + 은/JX
몰랐다고	모르/VV + 았/EP + 다고/EC
허탈해	허탈/NNG + 하/XSA + 아/EC
했다.	하/VX + 았/EP + 다/EF + ./SF

지난	지나/VV + ㄴ/ETM
13일	13/SN + 일/NNB
"건국대	"/SS + 건국대/NNP
응시생을	응시/NNG + 생/XSN + 을/JKO
무료로	무료/NNG + 로/JKB
민박시키겠다"고	민박/NNG + 시키/XSV + 겠/EP + 다/EC + "/SS + 고/JKQ
학교에	학교/NNG + 에/JKB
얘기했으나	얘기/NNG + 하/XSV + 았/EP + 으나/EC
"뜻은	"/SS + 뜻/NNG + 은/JX
좋지만	좋/VA + 지만/EC
부녀자들이	부녀자/NNG + 들/XSN + 이/JKS
실종되는	실종/NNG + 되/XSV + 는/ETM
요즘	요즘/NNG
여학생을	여학생/NNG + 을/JKO
맡긴다는	맡기/VV + ㄴ다는/ETM
것은	것/NNB + 은/JX
곤란하다"며	곤란/NNG + 하/XSA + 다/EC + "/SS + 며/EC
학교측이	학교/NNG + 측/NNB + 이/JKS
자신의	자신/NNG + 의/JKG
'호의'를	'/SS + 호의/NNG + '/SS + 를/JKO
거절했기	거절/NNG + 하/XSV + 았/EP + 기/ETN
때문이다.	때문/NNB + 이/VCP + 다/EF + ./SF

송씨는	송/NNP + 씨/NNB + 는/JX
얼마	얼마/NNG
전까지	전/NNG + 까지/JX
작은	작/VA + 은/ETM
의상집을	의상/NNG + 집/NNG + 을/JKO
경영했었지만	경영/NNG + 하/XSV + 았었/EP + 지만/EC
지금은	지금/NNG + 은/JX
2층집에서	2/SN + 층/NNG + 집/NNG + 에서/JKB
방세를	방세/NNG + 를/JKO
받으며	받/VV + 으며/EC
살아가고	살아가/VV + 고/EC
있었다.	있/VX + 었/EP + 다/EF + ./SF

"입시만으로도	"/SS + 입시/NNG + 만/JX + 으로/JKB + 도/JX
애가	애/NNG + 가/JKS
타는	타/VV + 는/ETM
학생들인데	학생/NNG + 들/XSN + 이/VCP + ㄴ데/EC
하루	하루/NNG
잠만	잠/NNG + 만/JX
자는	자/VV + 는/ETM
것으로	것/NNB + 으로/JKB
학교	학교/NNG
근처	근처/NNG
여관들이	여관/NNG + 들/XSN + 이/JKS
10만원을	10/SN + 만/NR + 원/NNB + 을/JKO
받는다는	받/VV + 는다는/ETM
말에	말/NNG + 에/JKB
어이가	어이/NNG + 가/JKS
없었습니다."	없/VA + 었/EP + 습니다/EF + ./SF + "/SS

송씨는	송/NNP + 씨/NNB + 는/JX
게다가	게다가/MAG
서울	서울/NNP
시내	시내/NNG
호텔들이	호텔/NNG + 들/XSN + 이/JKS
입시생	입시/NNG + 생/XSN
유치	유치/NNG
작전에	작전/NNG + 에/JKB
열을	열/NNG + 을/JKO
올리고	올리/VV + 고/EC
있다는	있/VX + 다는/ETM
보도를	보도/NNG + 를/JKO
보고	보/VV + 고/EC
얄미운	얄밉/VA + ㄴ/ETM
생각이	생각/NNG + 이/JKS
들었다.	들/VV + 었/EP + 다/EF + ./SF

또	또/MAG
20년	20/SN + 년/NNB
전	전/NNG
시골에서	시골/NNG + 에서/JKB
편물	편물/NNG
기술	기술/NNG
하나만	하나/NR + 만/JX
갖고	갖/VV + 고/EC
상경,	상경/NNG + ,/SP
추운	춥/VA + ㄴ/ETM
겨울	겨울/NNG
잠깐	잠깐/MAG
몸녹일	몸/NNG + 녹이/VV + ㄹ/ETM
방	방/NNG
한	한/MM
칸	칸/NNG
없었던	없/VA + 었/EP + 던/ETM
시절이	시절/NNG + 이/JKS
떠올라	떠오르/VV + 아/EC
민박을	민박/NNG + 을/JKO
자청했다고	자청/NNG + 하/XSV + 았/EP + 다고/EC
말했다.	말/NNG + 하/XSV + 았/EP + 다/EF + ./SF

"여자들만	"/SS + 여자/NNG + 들/XSN + 만/JX
사는	살/VV + 는/ETM
집이라	집/NNG + 이/VCP + 라/EC
여학생만	여학생/NNG + 만/JX
2	2/SN
명을	명/NNB + 을/JKO
받고	받/VV + 고/EC
학부모들도	학부모/NNG + 들/XSN + 도/JX
함께	함께/MAG
올라올	올라오/VV + ㄹ/ETM
것으로	것/NNB + 으로/JKB
예상해	예상/NNG + 하/XSV + 아/EC
안방까지	안방/NNG + 까지/JX
내	나/NP + 의/JKG
줄	주/VV + ㄹ/ETM
준비를	준비/NNG + 를/JKO
하고	하/VV + 고/EC
있었습니다.	있/VX + 었/EP + 습니다/EF + ./SF

학생들에겐	학생/NNG + 들/XSN + 에게/JKB + ㄴ/JX
새벽밥을	새벽밥/NNG + 을/JKO
지어	짓/VV + 어/EC
먹이고	먹이/VV + 고/EC
초조하게	초조/NNG + 하/XSA + 게/EC
기다리는	기다리/VV + 는/ETM
어머니들에게는	어머니/NNG + 들/XSN + 에게/JKB + 는/JX
따뜻한	따뜻/XR + 하/XSA + ㄴ/ETM
점심을	점심/NNG + 을/JKO
대접할	대접/NNG + 하/XSV + ㄹ/ETM
작정이었죠."	작정/NNG + 이/VCP + 었/EP + 죠/EF + ./SF + "/SS

그러나	그러나/MAJ
며칠	며칠/NNG
전	전/NNG
한	한/MM
교직원으로부터	교직원/NNG + 으로부터/JKB
곤란하다는	곤란/NNG + 하/XSA + 다는/ETM
'이유'를	'/SS + 이유/NNG + '/SS + 를/JKO
귀띔	귀띔/NNG
받았다는	받/VV + 았/EP + 다는/ETM
송씨는	송/NNP + 씨/NNB + 는/JX
"학교	"/SS + 학교/NNG
입장을	입장/NNG + 을/JKO
이해해	이해/NNG + 하/XSV + 아/EC
스스로	스스로/MAG
민박을	민박/NNG + 을/JKO
원하는	원하/VV + 는/ETM
학생을	학생/NNG + 을/JKO
찾아	찾/VV + 아/EC
나서기로	나서/VV + 기/ETN + 로/JKB
했지만	하/VV + 았/EP + 지만/EC
왠지	왠지/MAG
처음만큼	처음/NNG + 만큼/JKB
흥이	흥/NNG + 이/JKS
나지는	나/VV + 지/EC + 는/JX
않는다"고	않/VX + 는다/EC + "/SS + 고/JKQ
말했다.	말/NNG + 하/XSV + 았/EP + 다/EF + ./SF

벌써부터	벌써/MAG + 부터/JX
연하장이	연하장/NNG + 이/JKS
날아들어오기	날아들/VV + 어/EC + 오/VX + 기/ETN
시작한다.	시작/NNG + 하/XSV + ㄴ다/EF + ./SF

단	단/MM
한	한/MM
번	번/NNB
인사를	인사/NNG + 를/JKO
나눈	나누/VV + ㄴ/ETM
적도	적/NNB + 도/JX
없는	없/VA + 는/ETM
정치가들	정치가/NNG + 들/XSN
것도	것/NNB + 도/JX
많다.	많/VA + 다/EF + ./SF

정성이	정성/NNG + 이/JKS
담긴	담기/VV + ㄴ/ETM
것도	것/NNB + 도/JX
아니다.	아니/VCN + 다/EF + ./SF

어느	어느/MM
것은	것/NNB + 은/JX
이름이	이름/NNG + 이/JKS
잘못	잘못/MAG
적혀오는	적히/VV + 어/EC + 오/VX + 는/ETM
것도	것/NNB + 도/JX
있다.	있/VV + 다/EF + ./SF

한	한/MM
사람으로부터	사람/NNG + 으로부터/JKB
똑같은	똑같/VA + 은/ETM
연하장을	연하장/NNG + 을/JKO
두어장씩	두어/MM + 장/NNB + 씩/XSN
받은	받/VV + 은/ETM
경우도	경우/NNG + 도/JX
있다.	있/VV + 다/EF + ./SF

그런	그런/MM
것은	것/NNB + 은/JX
받기가	받/VV + 기/ETN + 가/JKS
무섭게	무섭/VA + 게/EC
쓰레기	쓰레기/NNG
통	통/NNG
속에	속/NNG + 에/JKB
들어간다.	들어가/VV + ㄴ다/EF + ./SF

배달물은	배달물/NNG + 은/JX
날로	날로/MAG
늘어만	늘/VV + 어/EC + 만/JX
간다.	가/VX + ㄴ다/EF + ./SF

무엇	무엇/NP
때문에	때문/NNB + 에/JKB
하는	하/VV + 는/ETM
것인지	것/NNB + 이/VCP + ㄴ지/EC
통	통/MAG
알	알/VV + ㄹ/ETM
수가	수/NNB + 가/JKS
없는	없/VA + 는/ETM
아리송한	아리송/XR + 하/XSA + ㄴ/ETM
단체들의	단체/NNG + 들/XSN + 의/JKG
세미나	세미나/NNG
안내서,	안내서/NNG + ,/SP
알듯	알/VV + 듯/EC
모를	모르/VV + ㄹ/ETM
듯한	듯/NNB + 하/XSA + ㄴ/ETM
인사들의	인사/NNG + 들/XSN + 의/JKG
출판	출판/NNG
기념회	기념회/NNG
초청장,	초청장/NNG + ,/SP
선전	선전/NNG
책자들….	책자/NNG + 들/XSN + …/SE + ./SF

이래저래	이래저래/MAG
우편배달	우편배달/NNG
아저씨들의	아저씨/NNG + 들/XSN + 의/JKG
허리만	허리/NNG + 만/JX
휘청거리게	휘청거리/VV + 게/EC
된다.	되/VV + ㄴ다/EF + ./SF

모든	모든/MM
게	것/NNB + 이/JKS
과소비요,	과/XPN + 소비/NNG + 이/VCP + 요/EC + ,/SP
낭비이다.	낭비/NNG + 이/VCP + 다/EF + ./SF

다만	다만/MAG
나랏돈이	나랏돈/NNG + 이/JKS
나가는	나가/VV + 는/ETM
것은	것/NNB + 은/JX
아니다.	아니/VCN + 다/EF + ./SF

그것만이	그것/NP + 만/JX + 이/JKS
다소	다소/MAG
위안이	위안/NNG + 이/JKC
된다.	되/VV + ㄴ다/EF + ./SF

딱한	딱하/VA + ㄴ/ETM
것은	것/NNB + 은/JX
정부의	정부/NNG + 의/JKG
각	각/MM
부처가	부처/NNG + 가/JKS
하루가	하루/NNG + 가/JKS
멀다하게	멀/VA + 다/EC + 하/VV + 게/EC
보내	보내/VV + 어/EC
오는	오/VX + 는/ETM
두툼한	두툼/XR + 하/XSA + ㄴ/ETM
'설명	'/SS + 설명/NNG
자료'니	자료/NNG + '/SS + 이/VCP + 니/EC
'홍보용	'/SS + 홍보/NNG + 용/XSN
자료'들이다.	자료/NNG + '/SS + 들/XSN + 이/VCP + 다/EF + ./SF

그것들은	그것/NP + 들/XSN + 은/JX
대부분이	대부분/NNG + 이/JKS
오른손으로	오른손/NNG + 으로/JKB
훑어	훑/VV + 어/EC
본	보/VX + ㄴ/ETM
다음	다음/NNG
왼손으로	왼손/NNG + 으로/JKB
쓰레기통	쓰레기통/NNG
속에	속/NNG + 에/JKB
던질만한	던지/VV + ㄹ/ETM + 만/NNB + 하/XSA + ㄴ/ETM
것들이다.	것/NNB + 들/XSN + 이/VCP + 다/EF + ./SF

물론	물론/MAG
알토란	알토란/NNG
같은	같/VA + 은/ETM
나랏돈으로	나랏돈/NNG + 으로/JKB
만든	만들/VV + ㄴ/ETM
인쇄물들이다.	인쇄물/NNG + 들/XSN + 이/VCP + 다/EF + ./SF

그렇게	그렇/VA + 게/EC
흥청망청	흥청망청/MAG
쓸	쓰/VV + ㄹ/ETM
돈이	돈/NNG + 이/JKS
있다면	있/VV + 다면/EC
요긴하게	요긴/XR + 하/XSA + 게/EC
달리	달리/MAG
쓸	쓰/VV + ㄹ/ETM
일은	일/NNG + 은/JX
얼마든지	얼마/NNG + 이/VCP + 든지/EC
많다.	많/VA + 다/EF + ./SF

엊그제	엊그제/NNG
국회에서	국회/NNG + 에서/JKB
3천	3/SN + 천/NR
억원	억/NR + 원/NNB
이상의	이상/NNG + 의/JKG
세출	세출/NNG
예산을	예산/NNG + 을/JKO
깎아	깎/VV + 아/EC
냈다고	내/VX + 었/EP + 다고/EC
야당은	야당/NNG + 은/JX
자랑한다.	자랑/NNG + 하/XSV + ㄴ다/EF + ./SF

여당	여당/NNG
쪽에선	쪽/NNB + 에서/JKB + ㄴ/JX
무사히	무사히/MAG
큰	크/VA + ㄴ/ETM
일	일/NNG
치렀다며	치르/VV + 었/EP + 다며/EC
은근히	은근히/MAG
흐뭇해	흐뭇/XR + 하/XSA + 아/EC
한다.	하/VX + ㄴ다/EF + ./SF

깎아	깎/VV + 아/EC
마땅한	마땅/XR + 하/XSA + ㄴ/ETM
것이라면	것/NNB + 이/VCP + 라면/EC
당연히	당연히/MAG
깎여야	깎이/VV + 어야/EC
한다.	하/VX + ㄴ다/EF + ./SF

그러나	그러나/MAJ
무엇을	무엇/NP + 을/JKO
깎느냐는	깎/VV + 느냐는/ETM
것에	것/NNB + 에/JKB
대해서는	대하/VV + 아서/EC + 는/JX
여-야간에	여/NNG + -/SS + 야/NNG + 간/NNB + 에/JKB
진지한	진지/XR + 하/XSA + ㄴ/ETM
토의가	토의/NNG + 가/JKS
전혀	전혀/MAG
없었단다.	없/VA + 었/EP + 단다/EF + ./SF

이	이/MM
통에	통/NNB + 에/JKB
교원	교원/NNG
처우	처우/NNG
개선을	개선/NNG + 을/JKO
위한	위하/VV + ㄴ/ETM
64억원과	64/SN + 억/NR + 원/NNB + 과/JC
사립	사립/NNG
학교	학교/NNG
교원	교원/NNG
퇴직	퇴직/NNG
수당	수당/NNG
증액분	증액/NNG + 분/XSN
1백억	1/SN + 백억/NR
원이	원/NNB + 이/JKS
무쪽	무쪽/NNG
같이	같이/MAG
잘려	잘리/VV + 어/EC
나갔다.	나가/VX + 았/EP + 다/EF + ./SF

말끝마다	말끝/NNG + 마다/JX
정부나	정부/NNG + 나/JC
정치가들은	정치가/NNG + 들/XSN + 은/JX
다음	다음/NNG
세대를	세대/NNG + 를/JKO
아낀다고	아끼/VV + ㄴ다고/EC
말한다.	말/NNG + 하/XSV + ㄴ다/EF + ./SF

그리고	그리고/MAJ
교육의	교육/NNG + 의/JKG
황폐를	황폐/NNG + 를/JKO
우려하는	우려/NNG + 하/XSV + 는/ETM
체한다.	체/NNB + 하/XSV + ㄴ다/EF + ./SF

실제로는	실제로/MAG + 는/JX
언제나	언제나/MAG
교육을	교육/NNG + 을/JKO
뒷전에	뒷전/NNG + 에/JKB
밀어낸다.	밀어내/VV + ㄴ다/EF + ./SF

'법정	'/SS + 법정/NNG
교육	교육/NNG
여건을	여건/NNG + 을/JKO
갖추기	갖추/VV + 기/ETN
위한	위하/VV + ㄴ/ETM
최소한의	최소한/NNG + 의/JKG
요구'도	요구/NNG + '/SS + 도/JX
묵살된다.	묵살/NNG + 되/XSV + ㄴ다/EF + ./SF

"뉴욕	"/SS + 뉴욕/NNP
거리에	거리/NNG + 에/JKB
나서자	나서/VV + 자/EC
'1941년을	'/SS + 1941/SN + 년/NNB + 을/JKO
기억하라'는	기억/NNG + 하/XSV + 라/EC + '/SS + 는/ETM
포스터가	포스터/NNG + 가/JKS
눈에	눈/NNG + 에/JKB
들어	들/VV + 어/EC
왔다	오/VX + 았/EP + 다/EC
진주만	진주만/NNP
공격을	공격/NNG + 을/JKO
얘기하는가	얘기/NNG + 하/XSV + 는가/EC
했더니	하/VV + 았/EP + 더니/EC
그게	그것/NP + 이/JKC
아니었다.	아니/VCN + 었/EP + 다/EF + ./SF

프로	프로/NNG
야구	야구/NNG
선수	선수/NNG
조	조/NNP
디마지오가	디마지오/NNP + 가/JKS
연속	연속/NNG
안타를	안타/NNG + 를/JKO
기록한	기록/NNG + 하/XSV + ㄴ/ETM
해를	해/NNG + 를/JKO
잊지	잊/VV + 지/EC
말자는	말/VX + 자는/ETM
포스터였다.	포스터/NNG + 이/VCP + 었/EP + 다/EF + ./SF

"	"/SS
미국	미국/NNP
학자가	학자/NNG + 가/JKS
일본	일본/NNP
정치	정치/NNG
학자에게	학자/NNG + 에게/JKB
들려준	들려주/VV + ㄴ/ETM
에피소드다.	에피소드/NNG + 이/VCP + 다/EF + ./SF

진주만	진주만/NNP
기습	기습/NNG
50주년에	50/SN + 주년/NNB + 에/JKB
집착하는	집착/NNG + 하/XSV + 는/ETM
강도는	강도/NNG + 는/JX
미국보다	미국/NNP + 보다/JKB
일본	일본/NNP
쪽이	쪽/NNB + 이/JKS
강한	강하/VV + ㄴ/ETM
것	것/NNB
같다.	같/VA + 다/EF + ./SF

일본	일본/NNP
TV는	TV/SL + 는/JX
저번	저번/NNG
주부터	주/NNG + 부터/JX
일제히	일제히/MAG
50주년	50/SN + 주년/NNB
기념	기념/NNG
프로를	프로/NNG + 를/JKO
방영하기	방영/NNG + 하/XSV + 기/ETN
시작했다.	시작/NNG + 하/XSV + 았/EP + 다/EF + ./SF

일반	일반/NNG
국민의	국민/NNG + 의/JKG
감정을	감정/NNG + 을/JKO
가장	가장/MAG
예민하게	예민/XR + 하/XSA + 게/EC
읽어	읽/VV + 어/EC
내리는	내리/VV + 는/ETM
곳은	곳/NNG + 은/JX
광고주들이다.	광고주/NNG + 들/XSN + 이/VCP + 다/EF + ./SF

일본	일본/NNP
기업들은	기업/NNG + 들/XSN + 은/JX
미국에서	미국/NNP + 에서/JKB
진주만	진주만/NNP
특집	특집/NNG
프로에는	프로/NNG + 에/JKB + 는/JX
광고	광고/NNG
스폰서를	스폰서/NNG + 를/JKO
거부,	거부/NNG + ,/SP
화제가	화제/NNG + 가/JKC
됐었다.	되/VV + 었었/EP + 다/EF + ./SF

진주만	진주만/NNP
특집	특집/NNG
속에	속/NNG + 에/JKB
일본	일본/NNP
상품을	상품/NNG + 을/JKO
선전했을	선전/NNG + 하/XSV + 았/EP + 을/ETM
때	때/NNG
소비자	소비자/NNG
감정이	감정/NNG + 이/JKS
어떻게	어떻/VA + 게/EC
나타날지	나타나/VV + ㄹ지/EC
그들은	그/NP + 들/XSN + 은/JX
알고	알/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

그러나	그러나/MAJ
일본	일본/NNP
광고주들이	광고주/NNG + 들/XSN + 이/JKS
일본	일본/NNP
국내	국내/NNG
방송이나	방송/NNG + 이나/JC
신문의	신문/NNG + 의/JKG
진주만	진주만/NNP
특집에	특집/NNG + 에/JKB
광고를	광고/NNG + 를/JKO
거부했다는	거부/NNG + 하/XSV + 았/EP + 다는/ETM
소식은	소식/NNG + 은/JX
전혀	전혀/MAG
없다.	없/VA + 다/EF + ./SF

여기에는	여기/NP + 에/JKB + 는/JX
이유가	이유/NNG + 가/JKS
있다.	있/VV + 다/EF + ./SF

일본	일본/NNP
언론들이	언론/NNG + 들/XSN + 이/JKS
광고	광고/NNG
주위에	주위/NNG + 에/JKB
군림해서가	군림/NNG + 하/XSV + 아서/EC + 가/JKC
아니라,	아니/VCN + 라/EC + ,/SP
일본	일본/NNP
언론의	언론/NNG + 의/JKG
보도	보도/NNG
태도는	태도/NNG + 는/JX
미국이나	미국/NNP + 이나/JC
한국	한국/NNP
언론과는	언론/NNG + 과/JKB + 는/JX
거리가	거리/NNG + 가/JKS
있다.	있/VV + 다/EF + ./SF

며칠	며칠/NNG
전	전/NNG
인기	인기/NNG
있는	있/VV + 는/ETM
TV뉴스	TV/SL + 뉴스/NNG
프로에서	프로/NNG + 에서/JKB
진주만	진주만/NNP
기습	기습/NNG
직후	직후/NNG
미국	미국/NNP
정부가	정부/NNG + 가/JKS
제작했다는	제작/NNG + 하/XSV + 았/EP + 다는/ETM
50년	50/SN + 년/NNB
전	전/NNG
홍보영화	홍보/NNG + 영화/NNG
프로가	프로/NNG + 가/JKS
방영됐다.	방영/NNG + 되/XSV + 었/EP + 다/EF + ./SF

일본의	일본/NNP + 의/JKG
비겁한	비겁/XR + 하/XSA + ㄴ/ETM
기습을	기습/NNG + 을/JKO
맹비난,	맹비난/NNG + ,/SP
미	미/NNP
국민들의	국민/NNG + 들/XSN + 의/JKG
감정을	감정/NNG + 을/JKO
부추기는	부추기/VV + 는/ETM
내용이었다.	내용/NNG + 이/VCP + 었/EP + 다/EF + ./SF

일본	일본/NNP
뉴스	뉴스/NNG
캐스터는	캐스터/NNG + 는/JX
"미	"/SS + 미/NNP
국민에게	국민/NNG + 에게/JKB
적개심을	적개심/NNG + 을/JKO
자극하는	자극/NNG + 하/XSV + 는/ETM
프로파간다(선전모략)였다"고	프로파간다/NNG + (/SS + 선전/NNG + 모략/NNG + )/SS + 이/VCP + 었/EP + 다/EC + "/SS + 고/JKQ
코멘트했다.	코멘트/NNG + 하/XSV + 았/EP + 다/EF + ./SF

미국의	미국/NNP + 의/JKG
전쟁	전쟁/NNG
의욕이	의욕/NNG + 이/JKS
강했기	강하/VV + 았/EP + 기/ETN
때문에	때문/NNB + 에/JKB
전쟁이	전쟁/NNG + 이/JKS
불가피했음을	불가피/XR + 하/XSA + 았/EP + 음/ETN + 을/JKO
느끼게	느끼/VV + 게/EC
만드는	만들/VV + 는/ETM
어투였다.	어투/NNG + 이/VCP + 었/EP + 다/EF + ./SF

일본	일본/NNP
언론의	언론/NNG + 의/JKG
진주만	진주만/NNP
특집을	특집/NNG + 을/JKO
한마디로	한마디/NNG + 로/JKB
요약할	요약/NNG + 하/XSV + ㄹ/ETM
수는	수/NNB + 는/JX
없지만,	없/VA + 지만/EC + ,/SP
특징적인	특징/NNG + 적/XSN + 이/VCP + ㄴ/ETM
줄거리는	줄거리/NNG + 는/JX
있다.	있/VV + 다/EF + ./SF

우선	우선/MAG
미국	미국/NNP
중시-아시아	중시/NNG + -/SS + 아시아/NNP
멸시	멸시/NNG
기조가	기조/NNG + 가/JKS
나타난다.	나타나/VV + ㄴ다/EF + ./SF

진주만	진주만/NNP
기습	기습/NNG
전부터	전/NNG + 부터/JX
일본은	일본/NNP + 은/JX
동남아를	동남아/NNP + 를/JKO
침공했다.	침공/NNG + 하/XSV + 았/EP + 다/EF + ./SF

그런데도	그런데/MAJ + 도/JX
일본	일본/NNP
지식인들이나	지식인/NNG + 들/XSN + 이나/JC
언론은	언론/NNG + 은/JX
인기	인기/NNG
메뉴인	메뉴/NNG + 이/VCP + ㄴ/ETM
진주만에만	진주만/NNP + 에/JKB + 만/JX
머물러	머무르/VV + 어/EC
있는	있/VX + 는/ETM
채	채/NNB
싱가포르	싱가포르/NNP
주변에는	주변/NNG + 에/JKB + 는/JX
관심을	관심/NNG + 을/JKO
두지	두/VV + 지/EC
않고	않/VX + 고/EC
있다.	있/VX + 다/EF + ./SF

오히려	오히려/MAG
강조되고	강조/NNG + 되/XSV + 고/EC
있는	있/VX + 는/ETM
것은	것/NNB + 은/JX
독립	독립/NNG
공헌론이다.	공헌/NNG + 론/XSN + 이/VCP + 다/EF + ./SF

일본이	일본/NNP + 이/JKS
전쟁을	전쟁/NNG + 을/JKO
일으킨	일으키/VV + ㄴ/ETM
것이	것/NNB + 이/JKS
결국	결국/NNG
아시아	아시아/NNP
국가들에	국가/NNG + 들/XSN + 에/JKB
독립-해방의	독립/NNG + -/SS + 해방/NNG + 의/JKG
기회를	기회/NNG + 를/JKO
제공했다는	제공/NNG + 하/XSV + 았/EP + 다는/ETM
논리다.	논리/NNG + 이/VCP + 다/EF + ./SF

아시아	아시아/NNP
지역의	지역/NNG + 의/JKG
천연	천연/NNG
자원과	자원/NNG + 과/JC
노동력을	노동력/NNG + 을/JKO
확보하려	확보/NNG + 하/XSV + 려/EC
했던	하/VX + 았/EP + 던/ETM
과거	과거/NNG
아시아를	아시아/NNP + 를/JKO
지배해	지배/NNG + 하/XSV + 아/EC
왔던	오/VX + 았/EP + 던/ETM
백인들을	백인/NNG + 들/XSN + 을/JKO
몰아내	몰아내/VV + 어/EC
준	주/VX + ㄴ/ETM
공헌으로	공헌/NNG + 으로/JKB
역사가	역사/NNG + 가/JKS
둔갑해가고	둔갑/NNG + 하/XSV + 아/EC + 가/VX + 고/EC
있다.	있/VX + 다/EF + ./SF

이	이/NP
같은	같/VA + 은/ETM
생각은	생각/NNG + 은/JX
신아시아	신/XPN + 아시아/NNP
경제권론,	경제/NNG + 권/XSN + 론/XSN + ,/SP
신대동아공영권	신/XPN + 대동아/NNP + 공영/NNG + 권/XSN
