지나간	지나가/VV + ㄴ/ETM
지속될	지속/NNG + 되/XSV + ㄹ/ETM
경우,	경우/NNG + ,/SP
우리	우리/NP
사회	사회/NNG
공동체는	공동체/NNG + 는/JX
심각한	심각/XR + 하/XSA + ㄴ/ETM
존립의	존립/NNG + 의/JKG
기로를	기로/NNG + 를/JKO
맞게	맞/VV + 게/EC
될	되/VV + ㄹ/ETM
것임에	것/NNB + 이/VCP + ㅁ/ETN + 에/JKB
틀림없다.	틀림없/VA + 다/EF + ./SF

그러므로	그러므로/MAJ
시민이	시민/NNG + 이/JKS
발벗고	발/NNG + 벗/VV + 고/EC
나서는	나서/VV + 는/ETM
것은	것/NNB + 은/JX
곧	곧/MAG
자구	자구/NNG
행위에	행위/NNG + 에/JKB
해당하는	해당/NNG + 하/XSV + 는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

그러한	그러/XR + 하/XSA + ㄴ/ETM
움직임은	움직임/NNG + 은/JX
이미	이미/MAG
몇몇	몇몇/MM
분야에서	분야/NNG + 에서/JKB
뜻	뜻/NNG
있는	있/VV + 는/ETM
시민들에	시민/NNG + 들/XSN + 에/JKB
의해	의하/VV + 아/EC
구체화되고	구체/NNG + 화/XSN + 되/XSV + 고/EC
있기도	있/VX + 기/ETN + 도/JX
하다.	하/VX + 다/EF + ./SF

노인들이	노인/NNG + 들/XSN + 이/JKS
나서서	나서/VV + 어서/EC
밤낮	밤낮/NNG
없이	없이/MAG
방범	방범/NNG
활동을	활동/NNG + 을/JKO
벌인	벌이/VV + ㄴ/ETM
결과,	결과/NNG + ,/SP
동네	동네/NNG
전체가	전체/NNG + 가/JKS
범죄의	범죄/NNG + 의/JKG
공포에서	공포/NNG + 에서/JKB
해방되게	해방/NNG + 되/XSV + 게/EC
되었다던가,	되/VV + 었/EP + 다던가/EC + ,/SP
10	10/SN
개	개/NNB
시민	시민/NNG
단체의	단체/NNG + 의/JKG
대표	대표/NNG
기구인	기구/NNG + 이/VCP + ㄴ/ETM
소비자	소비자/NNG
보호	보호/NNG
단체	단체/NNG
협의회가	협의회/NNG + 가/JKS
UR협상	UR/SL + 협상/NNG
타결	타결/NNG
이후의	이후/NNG + 의/JKG
국내	국내/NNG
산업	산업/NNG
피해에	피해/NNG + 에/JKB
공동	공동/NNG
대처하기	대처/NNG + 하/XSV + 기/ETN
위해	위하/VV + 아/EC
장기적	장기/NNG + 적/XSN
안목의	안목/NNG + 의/JKG
합리적	합리/NNG + 적/XSN
선택과	선택/NNG + 과/JC
소비	소비/NNG
활동을	활동/NNG + 을/JKO
전개하기로	전개/NNG + 하/XSV + 기/ETN + 로/JKB
한	하/VX + ㄴ/ETM
것	것/NNB
등이	등/NNB + 이/JKS
그런	그런/MM
사례들이다.	사례/NNG + 들/XSN + 이/VCP + 다/EF + ./SF

농민들이	농민/NNG + 들/XSN + 이/JKS
도시	도시/NNG
주민들과의	주민/NNG + 들/XSN + 과/JKB + 의/JKG
직거래를	직거래/NNG + 를/JKO
통해	통하/VV + 아/EC
상호	상호/NNG
이득을	이득/NNG + 을/JKO
취하도록	취하/VV + 도록/EC
한	하/VX + ㄴ/ETM
유통	유통/NNG
사례,	사례/NNG + ,/SP
대한	대한/NNP
치과	치과/NNG
의사	의사/NNG
협회가	협회/NNG + 가/JKS
무차일을	무차일/NNG + 을/JKO
지정하고,	지정/NNG + 하/XSV + 고/EC + ,/SP
국방부가	국방부/NNG + 가/JKS
2부제	2/SN + 부/NNB + 제/XSN
운행을	운행/NNG + 을/JKO
하는	하/VV + 는/ETM
등의	등/NNB + 의/JKG
교통난	교통난/NNG
해소를	해소/NNG + 를/JKO
위한	위하/VV + ㄴ/ETM
시민-단체	시민/NNG + -/SS + 단체/NNG
운동,	운동/NNG + ,/SP
반공해	반/XPN + 공해/NNG
운동	운동/NNG
등도	등/NNB + 도/JX
마찬가지이다.	마찬가지/NNG + 이/VCP + 다/EF + ./SF

국가	국가/NNG
사회의	사회/NNG + 의/JKG
갖가지	갖가지/NNG
과제	과제/NNG
속에는	속/NNG + 에/JKB + 는/JX
정부가	정부/NNG + 가/JKS
할	하/VV + ㄹ/ETM
몫과	몫/NNG + 과/JC
시민들이	시민/NNG + 들/XSN + 이/JKS
자발적으로	자발/NNG + 적/XSN + 으로/JKB
해결해야	해결/NNG + 하/XSV + 아야/EC
할	하/VX + ㄹ/ETM
몫이	몫/NNG + 이/JKS
포함되어	포함/NNG + 되/XSV + 어/EC
있다.	있/VX + 다/EF + ./SF

특히	특히/MAG
민주화	민주/NNG + 화/XSN
사회에서는	사회/NNG + 에서/JKB + 는/JX
정부의	정부/NNG + 의/JKG
역할이	역할/NNG + 이/JKS
축소되는	축소/NNG + 되/XSV + 는/ETM
그만큼	그만큼/MAG
후자의	후자/NNG + 의/JKG
몫이	몫/NNG + 이/JKS
더	더/MAG
커지게	커지/VV + 게/EC
마련이다.	마련/NNB + 이/VCP + 다/EF + ./SF

'민주화'에서	'/SS + 민주/NNG + 화/XSN + '/SS + 에서/JKB
자율이	자율/NNG + 이/JKS
강조되는	강조/NNG + 되/XSV + 는/ETM
이유는	이유/NNG + 는/JX
바로	바로/MAG
그	그/NP
때문이다.	때문/NNB + 이/VCP + 다/EF + ./SF

일부에서	일부/NNG + 에서/JKB
움트고	움트/VV + 고/EC
있는	있/VX + 는/ETM
자율	자율/NNG
분위기,	분위기/NNG + ,/SP
자구적	자구/NNG + 적/XSN
시민	시민/NNG
운동에	운동/NNG + 에/JKB
모두가	모두/NNG + 가/JKS
참여하자.	참여/NNG + 하/XSV + 자/EC + ./SF

그리하여	그리하여/MAJ
오늘의	오늘/NNG + 의/JKG
난국을	난국/NNG + 을/JKO
시민의	시민/NNG + 의/JKG
힘으로	힘/NNG + 으로/JKB
반전시켜	반전/NNG + 시키/XSV + 어/EC
보자.	보/VX + 자/EF + ./SF

언론이	언론/NNG + 이/JKS
사건을	사건/NNG + 을/JKO
기사화하는	기사/NNG + 화/XSN + 하/XSV + 는/ETM
과정에서	과정/NNG + 에서/JKB
지나치게	지나치/VA + 게/EC
사실에만	사실/NNG + 에/JKB + 만/JX
충실하게	충실/NNG + 하/XSA + 게/EC
묘사하려	묘사/NNG + 하/XSV + 려/EC
애쓴	애쓰/VV + ㄴ/ETM
나머지	나머지/NNG
피해자에게	피해자/NNG + 에게/JKB
2중	2/SN + 중/NNG
피해를	피해/NNG + 를/JKO
입히는	입히/VV + 는/ETM
사례는	사례/NNG + 는/JX
드물지	드물/VA + 지/EC
않은	않/VX + 은/ETM
일이다.	일/NNG + 이/VCP + 다/EF + ./SF

특히	특히/MAG
요즘처럼	요즘/NNG + 처럼/JKB
강력	강력/XR
사건이	사건/NNG + 이/JKS
빈발할	빈발/NNG + 하/XSV + ㄹ/ETM
때는	때/NNG + 는/JX
이로	이/NP + 로/JKB
인한	인하/VV + ㄴ/ETM
피해자의	피해자/NNG + 의/JKG
피해	피해/NNG
빈도도	빈도/NNG + 도/JX
늘어날	늘어나/VV + ㄹ/ETM
수밖에	수/NNB + 밖에/JX
없을	없/VA + 을/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

언론이	언론/NNG + 이/JKS
본의	본의/NNG
아니게	아니/VCN + 게/EC
사건	사건/NNG
피해자에게	피해자/NNG + 에게/JKB
다시금	다시금/MAG
실의를	실의/NNG + 를/JKO
안겨준	안기/VV + 어/EC + 주/VX + ㄴ/ETM
최근의	최근/NNG + 의/JKG
대표적	대표/NNG + 적/XSN
사례로	사례/NNG + 로/JKB
지난	지나/VV + ㄴ/ETM
달	달/NNG
양평	양평/NNP
일가족	일가족/NNG
생매장	생/XPN + 매장/NNG
범인들이	범인/NNG + 들/XSN + 이/JKS
이에	이/NP + 에/JKB
앞서	앞서/VV + 어/EC
강릉에서	강릉/NNP + 에서/JKB
저지른	저지르/VV + ㄴ/ETM
신혼	신혼/NNG
부부	부부/NNG
강도	강도/NNG
폭행	폭행/NNG
사건을	사건/NNG + 을/JKO
들	들/VV + ㄹ/ETM
수	수/NNB
있을	있/VV + 을/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

이	이/MM
사건의	사건/NNG + 의/JKG
피해자인	피해자/NNG + 이/VCP + ㄴ/ETM
신부는	신부/NNG + 는/JX
일부	일부/NNG
언론에	언론/NNG + 에/JKB
'범인들이	'/SS + 범인/NNG + 들/XSN + 이/JKS
금품을	금품/NNG + 을/JKO
빼앗고	빼앗/VV + 고/EC
폭행했다'고	폭행/NNG + 하/XSV + 았/EP + 다/EC + '/SS + 고/JKQ
보도되는	보도/NNG + 되/XSV + 는/ETM
바람에	바람/NNB + 에/JKB
말	말/NNG
못	못/MAG
할	하/VV + ㄹ/ETM
고통을	고통/NNG + 을/JKO
겪고	겪/VV + 고/EC
있다는	있/VX + 다는/ETM
얘기이다.	얘기/NNG + 이/VCP + 다/EF + ./SF

즉,	즉/MAG + ,/SP
실제로는	실제로/MAG + 는/JX
구타를	구타/NNG + 를/JKO
당한	당하/VV + ㄴ/ETM
것이지,	것/NNB + 이/VCP + 지/EC + ,/SP
성폭행을	성폭행/NNG + 을/JKO
당한	당하/VV + ㄴ/ETM
것은	것/NNB + 은/JX
아닌데,	아니/VCN + ㄴ데/EC + ,/SP
주위에서	주위/NNG + 에서/JKB
후자의	후자/NNG + 의/JKG
경우로	경우/NNG + 로/JKB
오인해	오인/NNG + 하/XSV + 아/EC
당사자를	당사자/NNG + 를/JKO
직접	직접/MAG
간접으로	간접/NNG + 으로/JKB
괴롭히고	괴롭히/VV + 고/EC
있다는	있/VX + 다는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

이런	이런/MM
경우	경우/NNG
말고도	말/VV + 고/EC + 도/JX
강력	강력/XR
사건	사건/NNG
피해자의	피해자/NNG + 의/JKG
자세한	자세/XR + 하/XSA + ㄴ/ETM
피해	피해/NNG
내역과	내역/NNG + 과/JC
신원을	신원/NNG + 을/JKO
공개함으로써	공개/NNG + 하/XSV + ㅁ/ETN + 으로써/JKB
빚어지는	빚어지/VV + 는/ETM
사생활	사생활/NNG
침해는	침해/NNG + 는/JX
매우	매우/MAG
심각할	심각/XR + 하/XSA + ㄹ/ETM
수도	수/NNB + 도/JX
있을	있/VV + 을/ETM
것이며,	것/NNB + 이/VCP + 며/EC + ,/SP
때로는	때로/MAG + 는/JX
이를	이/NP + 를/JKO
두려워하여	두려워하/VV + 아/EC
범죄	범죄/NNG
피해	피해/NNG
신고	신고/NNG
자체를	자체/NNG + 를/JKO
기피하는	기피/NNG + 하/XSV + 는/ETM
경우도	경우/NNG + 도/JX
종종	종종/MAG
있어	있/VV + 어/EC
왔던	오/VX + 았/EP + 던/ETM
터이다.	터/NNB + 이/VCP + 다/EF + ./SF

따라서	따라서/MAJ
정부	정부/NNG
여당이	여당/NNG + 이/JKS
새로	새로/MAG
제정하려고	제정/NNG + 하/XSV + 려고/EC
추진중인	추진/NNG + 중/NNB + 이/VCP + ㄴ/ETM
'특정	'/SS + 특정/NNG
강력	강력/XR
범죄의	범죄/NNG + 의/JKG
처벌에	처벌/NNG + 에/JKB
관한	관하/VV + ㄴ/ETM
특례법'을	특례법/NNG + '/SS + 을/JKO
성안하면서	성안/NNG + 하/XSV + 면서/EC
강력	강력/XR
사건	사건/NNG
피해자의	피해자/NNG + 의/JKG
인권	인권/NNG
보호를	보호/NNG + 를/JKO
기한다는	기/XR + 하/XSV + ㄴ다는/ETM
취지에서	취지/NNG + 에서/JKB
피해자	피해자/NNG
공개	공개/NNG
금지	금지/NNG
조항을	조항/NNG + 을/JKO
두려고	두/VX + 려고/EC
하는	하/VX + 는/ETM
것은	것/NNB + 은/JX
나름대로	나름/NNB + 대로/JX
이유를	이유/NNG + 를/JKO
지니고	지니/VV + 고/EC
있다고	있/VX + 다고/EC
하겠다.	하/VV + 겠/EP + 다/EF + ./SF

다만	다만/MAG
'공개	'/SS + 공개/NNG
금지'가	금지/NNG + '/SS + 가/JKS
무조건	무조건/MAG
피해자에게	피해자/NNG + 에게/JKB
이로운	이/NNG + 롭/XSA + ㄴ/ETM
것만은	것/NNB + 만/JX + 은/JX
아닌	아니/VCN + ㄴ/ETM
경우도	경우/NNG + 도/JX
있다.	있/VV + 다/EF + ./SF

때로는	때로/MAG + 는/JX
피해자를	피해자/NNG + 를/JKO
공개하는	공개/NNG + 하/XSV + 는/ETM
것이	것/NNB + 이/JKS
사건	사건/NNG
수사상	수사/NNG + 상/XSN
유리하고	유리/NNG + 하/XSA + 고/EC
공공의	공공/NNG + 의/JKG
이익에	이익/NNG + 에/JKB
부합되기도	부합/NNG + 되/XSV + 기/ETN + 도/JX
하며,	하/VX + 며/EC + ,/SP
피해자에게	피해자/NNG + 에게/JKB
이익이	이익/NNG + 이/JKC
되는	되/VV + 는/ETM
경우도	경우/NNG + 도/JX
있다.	있/VV + 다/EF + ./SF

우선	우선/MAG
강력	강력/XR
사건	사건/NNG
피해자의	피해자/NNG + 의/JKG
신원을	신원/NNG + 을/JKO
무조건	무조건/MAG
감출	감추/VV + ㄹ/ETM
경우	경우/NNG
시민들의	시민/NNG + 들/XSN + 의/JKG
광범한	광범/XR + 하/XSA + ㄴ/ETM
수사	수사/NNG
협조를	협조/NNG + 를/JKO
기대하기가	기대/NNG + 하/XSV + 기/ETN + 가/JKS
어려울	어렵/VA + ㄹ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

사건은	사건/NNG + 은/JX
피해자와의	피해자/NNG + 와/JKB + 의/JKG
인과	인과/NNG
관계에	관계/NNG + 에/JKB
의해	의하/VV + 아/EC
빚어지는	빚어지/VV + 는/ETM
경우가	경우/NNG + 가/JKS
많으나	많/VA + 으나/EC
피해자가	피해자/NNG + 가/JKS
누군지를	누구/NP + 이/VCP + ㄴ지/EC + 를/JKO
모르니	모르/VV + 니/EC
제보할	제보/NNG + 하/XSV + ㄹ/ETM
내용이	내용/NNG + 이/JKS
있어도	있/VV + 어도/EC
신고할	신고/NNG + 하/XSV + ㄹ/ETM
수가	수/NNB + 가/JKS
없는	없/VA + 는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

이런	이런/MM
현실을	현실/NNG + 을/JKO
감안할	감안/NNG + 하/XSV + ㄹ/ETM
때	때/NNG
이	이/MM
문제는	문제/NNG + 는/JX
정부-여당이	정부/NNG + -/SS + 여당/NNG + 이/JKS
특례법	특례법/NNG
성안	성안/NNG
과정에서	과정/NNG + 에서/JKB
슬쩍	슬쩍/MAG
끼워	끼우/VV + 어/EC
넣는	넣/VV + 는/ETM
따위의	따위/NNB + 의/JKG
좀스러운	좀스럽/VA + ㄴ/ETM
술수로	술수/NNG + 로/JKB
처리될	처리/NNG + 되/XSV + ㄹ/ETM
성질의	성질/NNG + 의/JKG
것이	것/NNB + 이/JKC
아니고,	아니/VCN + 고/EC + ,/SP
마땅히	마땅히/MAG
공론에	공론/NNG + 에/JKB
부칠	부치/VV + ㄹ/ETM
필요가	필요/NNG + 가/JKS
있다고	있/VV + 다고/EC
본다.	보/VV + ㄴ다/EF + ./SF

우선	우선/MAG
'피해자	'/SS + 피해자/NNG
보도금지'를	보도/NNG + 금지/NNG + '/SS + 를/JKO
실정법에	실정법/NNG + 에/JKB
명문화할	명문/NNG + 화/XSN + 하/XSV + ㄹ/ETM
것이냐	것/NNB + 이/VCP + 냐/EC
아니면	아니/VCN + 면/EC
언론	언론/NNG
자체의	자체/NNG + 의/JKG
윤리	윤리/NNG
차원에	차원/NNG + 에/JKB
맡길	맡기/VV + ㄹ/ETM
것이냐는	것/NNB + 이/VCP + 냐는/ETM
문제부터	문제/NNG + 부터/JX
결정해야	결정/NNG + 하/XSV + 아야/EC
한다.	하/VX + ㄴ다/EF + ./SF

물론	물론/MAG
언론은	언론/NNG + 은/JX
신문	신문/NNG
윤리	윤리/NNG
강령,	강령/NNG + ,/SP
신문윤리실천	신문/NNG + 윤리/NNG + 실천/NNG
요강,	요강/NNG + ,/SP
보도기준	보도/NNG + 기준/NNG
등을	등/NNB + 을/JKO
자체적으로	자체/NNG + 적/XSN + 으로/JKB
마련하고	마련/NNG + 하/XSV + 고/EC
있고	있/VX + 고/EC
범죄	범죄/NNG
피해자에게도	피해자/NNG + 에게/JKB + 도/JX
피해가	피해/NNG + 가/JKS
가지	가/VV + 지/EC
않도록	않/VX + 도록/EC
관계	관계/NNG
규정을	규정/NNG + 을/JKO
두고	두/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

그러나	그러나/MAJ
이	이/NP
같은	같/VA + 은/ETM
윤리	윤리/NNG
강령들이	강령/NNG + 들/XSN + 이/JKS
현실적으로	현실/NNG + 적/XSN + 으로/JKB
엄격히	엄격히/MAG
적용되지	적용/NNG + 되/XSV + 지/EC
못하고	못하/VX + 고/EC
있고	있/VX + 고/EC
벌칙도	벌칙/NNG + 도/JX
없는	없/VA + 는/ETM
것이나	것/NNB + 이나/JX
다름없기	다름없/VA + 기/ETN
때문에	때문/NNB + 에/JKB
언론으로서는	언론/NNG + 으로서/JKB + 는/JX
문제의	문제/NNG + 의/JKG
법제화에	법제/NNG + 화/XSN + 에/JKB
대해	대하/VV + 아/EC
적극적으로	적극/NNG + 적/XSN + 으로/JKB
맞설	맞서/VV + ㄹ/ETM
명분이	명분/NNG + 이/JKS
약하다는	약하/VA + 다는/ETM
것이	것/NNB + 이/JKS
솔직한	솔직/XR + 하/XSA + ㄴ/ETM
고백이다.	고백/NNG + 이/VCP + 다/EF + ./SF

그러나	그러나/MAJ
범죄	범죄/NNG
피해자가	피해자/NNG + 가/JKS
입는	입/VV + 는/ETM
피해와	피해/NNG + 와/JC
이를	이/NP + 를/JKO
단순	단순/NNG
조항으로	조항/NNG + 으로/JKB
일괄	일괄/NNG
규제했을	규제/NNG + 하/XSV + 았/EP + 을/ETM
때의	때/NNG + 의/JKG
법의	법/NNG + 의/JKG
악용의	악용/NNG + 의/JKG
소지는	소지/NNG + 는/JX
적절히	적절히/MAG
균형	균형/NNG
있게	있/VV + 게/EC
고려되어야	고려/NNG + 되/XSV + 어야/EC
한다고	하/VX + ㄴ다고/EC
본다.	보/VV + ㄴ다/EF + ./SF

따라서	따라서/MAJ
실정법화가	실정법/NNG + 화/XSN + 가/JKS
필요하다고	필요/NNG + 하/XSA + 다고/EC
인정되는	인정/NNG + 되/XSV + 는/ETM
경우라도	경우/NNG + 이/VCP + 라도/EC
일률	일률/NNG
규제적	규제/NNG + 적/XSN
접근	접근/NNG
방법보다는	방법/NNG + 보다/JKB + 는/JX
조건과	조건/NNG + 과/JC
예외	예외/NNG
규정을	규정/NNG + 을/JKO
활용함으로써	활용/NNG + 하/XSV + ㅁ/ETN + 으로써/JKB
보다	보다/MAG
구체화하는	구체/NNG + 화/XSN + 하/XSV + 는/ETM
것이	것/NNB + 이/JKS
절대	절대/MAG
중요하다.	중요/NNG + 하/XSA + 다/EF + ./SF

즉	즉/MAG
피해자가	피해자/NNG + 가/JKS
공인인	공인/NNG + 이/VCP + ㄴ/ETM
경우,	경우/NNG + ,/SP
피해자의	피해자/NNG + 의/JKG
신분의	신분/NNG + 의/JKG
특수성으로	특수/NNG + 성/XSN + 으로/JKB
인해	인하/VV + 아/EC
범죄와	범죄/NNG + 와/JKB
직접	직접/MAG
관련이	관련/NNG + 이/JKS
있는	있/VV + 는/ETM
경우,	경우/NNG + ,/SP
정치적	정치/NNG + 적/XSN
사정으로	사정/NNG + 으로/JKB
당국이	당국/NNG + 이/JKS
자의적으로	자의/NNG + 적/XSN + 으로/JKB
공개를	공개/NNG + 를/JKO
꺼리고	꺼리/VV + 고/EC
감싸는	감싸/VV + 는/ETM
경우	경우/NNG
등을	등/NNB + 을/JKO
충분히	충분히/MAG
감안해서	감안/NNG + 하/XSV + 아서/EC
예외	예외/NNG
규정을	규정/NNG + 을/JKO
두는	두/VV + 는/ETM
지혜가	지혜/NNG + 가/JKS
필요한	필요/NNG + 하/XSA + ㄴ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

또	또/MAG
법으로	법/NNG + 으로/JKB
정하는	정하/VV + 는/ETM
경우에도	경우/NNG + 에/JKB + 도/JX
편집	편집/NNG
책임자의	책임자/NNG + 의/JKG
처벌에	처벌/NNG + 에/JKB
있어	있/VV + 어/EC
그것을	그것/NP + 을/JKO
체형으로	체형/NNG + 으로/JKB
할	하/VV + ㄹ/ETM
것인지	것/NNB + 이/VCP + ㄴ지/EC
아니면	아니/VCN + 면/EC
벌금형으로	벌금형/NNG + 으로/JKB
할	하/VV + ㄹ/ETM
것인지,	것/NNB + 이/VCP + ㄴ지/EC + ,/SP
편집	편집/NNG
책임자의	책임자/NNG + 의/JKG
범위를	범위/NNG + 를/JKO
어떻게	어떻/VA + 게/EC
설정할	설정/NNG + 하/XSV + ㄹ/ETM
것인지	것/NNB + 이/VCP + ㄴ지/EC
등에	등/NNB + 에/JKB
지금처럼	지금/NNG + 처럼/JKB
애매해	애매/XR + 하/XSA + 아/EC
가지고는	가지/VX + 고/EC + 는/JX
안될	안/MAG + 되/XSV + ㄹ/ETM
것으로	것/NNB + 으로/JKB
본다.	보/VV + ㄴ다/EF + ./SF

따라서	따라서/MAJ
이런	이런/MM
문제들이	문제/NNG + 들/XSN + 이/JKS
관계자의	관계자/NNG + 의/JKG
공론에	공론/NNG + 에/JKB
부쳐질	부치/VV + 어/EC + 지/VX + ㄹ/ETM
수	수/NNB
있도록	있/VV + 도록/EC
성급한	성급/XR + 하/XSA + ㄴ/ETM
법제화를	법제/NNG + 화/XSN + 를/JKO
삼갈	삼가/VV + ㄹ/ETM
것을	것/NNB + 을/JKO
당부한다.	당부/NNG + 하/XSV + ㄴ다/EF + ./SF

공보처	공보처/NNG
산하	산하/NNG
종합	종합/NNG
유선	유선/NNG
방송	방송/NNG
추진	추진/NNG
위원회가	위원회/NNG + 가/JKS
14일	14/SN + 일/NNB
유선	유선/NNG
방송법	방송법/NNG
시안을	시안/NNG + 을/JKO
마련,	마련/NNG + ,/SP
공청회의	공청회/NNG + 의/JKG
논의에	논의/NNG + 에/JKB
부쳤다.	부치/VV + 었/EP + 다/EF + ./SF

정부의	정부/NNG + 의/JKG
의도는	의도/NNG + 는/JX
이	이/MM
시안을	시안/NNG + 을/JKO
정부안으로	정부안/NNG + 으로/JKB
확정,	확정/NNG + ,/SP
오는	오/VV + 는/ETM
3월	3/SN + 월/NNB
국회	국회/NNG
의결을	의결/NNG + 을/JKO
거친	거치/VV + ㄴ/ETM
후	후/NNG
내년	내년/NNG
말쯤	말/NNB + 쯤/XSN
CA	CA/SL
TV를	TV/SL + 를/JKO
허가함으로써	허가/NNG + 하/XSV + ㅁ/ETN + 으로써/JKB
93년	93/SN + 년/NNB
초엔	초/NNB + 에/JKB + ㄴ/JX
방송을	방송/NNG + 을/JKO
본격화한다는	본격/NNG + 화/XSN + 하/XSV + ㄴ다는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

이렇게	이렇/VA + 게/EC
될	되/VV + ㄹ/ETM
때	때/NNG
CA	CA/SL
TV는	TV/SL + 는/JX
민간	민간/NNG
방송	방송/NNG
출현에	출현/NNG + 에/JKB
따른	따르/VV + ㄴ/ETM
방송	방송/NNG
구조	구조/NNG
개편에	개편/NNG + 에/JKB
덧붙여	덧붙이/VV + 어/EC
방송의	방송/NNG + 의/JKG
다채널화라는	다채널/NNG + 화/XSN + 이/VCP + 라는/ETM
우리	우리/NP
방송	방송/NNG
문화의	문화/NNG + 의/JKG
획기적	획기적/NNG
변화를	변화/NNG + 를/JKO
가능하게	가능/NNG + 하/XSA + 게/EC
할	하/VX + ㄹ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

따라서	따라서/MAJ
종합	종합/NNG
유선	유선/NNG
방송법	방송법/NNG
시안은	시안/NNG + 은/JX
국민의	국민/NNG + 의/JKG
지대한	지대/XR + 하/XSA + ㄴ/ETM
관심	관심/NNG
대상으로	대상/NNG + 으로/JKB
부각되고	부각/NNG + 되/XSV + 고/EC
있으며,	있/VX + 으며/EC + ,/SP
적잖은	적잖/VA + 은/ETM
논란을	논란/NNG + 을/JKO
유발하기도	유발/NNG + 하/XSV + 기/ETN + 도/JX
한다.	하/VX + ㄴ다/EF + ./SF

특히	특히/MAG
정부가	정부/NNG + 가/JKS
유선	유선/NNG
방송의	방송/NNG + 의/JKG
3대	3/SN + 대/NNG
구성	구성/NNG
요소인	요소/NNG + 이/VCP + ㄴ/ETM
방송	방송/NNG
사업자와	사업자/NNG + 와/JC
프로그램	프로그램/NNG
공급자,	공급자/NNG + ,/SP
그리고	그리고/MAJ
망사업자	망사업자/NNG
모두에	모두/NNG + 에/JKB
독점	독점/NNG
허가권을	허가/NNG + 권/XSN + 을/JKO
행사하려는	행사/NNG + 하/XSV + 려는/ETM
데	데/NNB
대해	대하/VV + 아/EC
많은	많/VA + 은/ETM
우려가	우려/NNG + 가/JKS
제기되고	제기/NNG + 되/XSV + 고/EC
있다.	있/VX + 다/EF + ./SF

우리는	우리/NP + 는/JX
물론	물론/MAG
정부가	정부/NNG + 가/JKS
공공의	공공/NNG + 의/JKG
재산인	재산/NNG + 이/VCP + ㄴ/ETM
전파를	전파/NNG + 를/JKO
관리하고	관리/NNG + 하/XSV + 고/EC
공정하고	공정/NNG + 하/XSA + 고/EC
품위	품위/NNG
있는	있/VV + 는/ETM
방송에	방송/NNG + 에/JKB
책임을	책임/NNG + 을/JKO
지겠다는	지/VV + 겠/EP + 다는/ETM
데	데/NNB
대해	대하/VV + 아/EC
일차적인	일차/NNG + 적/XSN + 이/VCP + ㄴ/ETM
공감을	공감/NNG + 을/JKO
한다.	하/VV + ㄴ다/EF + ./SF

하지만	하지만/MAJ
우리는	우리/NP + 는/JX
지난	지나/VV + ㄴ/ETM
번	번/NNB
민방선정	민방/NNG + 선정/NNG
과정에서	과정/NNG + 에서/JKB
야기된	야기/NNG + 되/XSV + ㄴ/ETM
잡음을	잡음/NNG + 을/JKO
생각해서도	생각/NNG + 하/XSV + 아서/EC + 도/JX
정부가	정부/NNG + 가/JKS
CA	CA/SL
TV방송	TV/SL + 방송/NNG
사업자	사업자/NNG
허가에	허가/NNG + 에/JKB
직접	직접/MAG
간여하는	간여/NNG + 하/XSV + 는/ETM
방식은	방식/NNG + 은/JX
자제해야	자제/NNG + 하/XSV + 아야/EC
한다고	하/VX + ㄴ다고/EC
