서울	서울/NNP
진지한	진지/XR + 하/XSA + ㄴ/ETM
토론을	토론/NNG + 을/JKO
나누는	나누/VV + 는/ETM
기회가	기회/NNG + 가/JKS
바로	바로/MAG
수학여행이다.	수학여행/NNG + 이/VCP + 다/EF + ./SF

식사와	식사/NNG + 와/JC
음료를	음료/NNG + 를/JKO
숙소	숙소/NNG
측에서	측/NNB + 에서/JKB
제공해	제공/NNG + 하/XSV + 아/EC
주기는	주/VX + 기/ETN + 는/JX
하지만	하/VX + 지만/EC
남녀	남녀/NNG
학생을	학생/NNG + 을/JKO
불문하고	불문/NNG + 하/XSV + 고/EC
식탁	식탁/NNG
꾸미기,	꾸미/VV + 기/ETN + ,/SP
마른	마르/VV + ㄴ/ETM
행주질	행주/NNG + 질/XSN
돕기를	돕/VV + 기/ETN + 를/JKO
하며	하/VV + 며/EC
생활	생활/NNG
교육을	교육/NNG + 을/JKO
받기도	받/VV + 기/ETN + 도/JX
한다.	하/VX + ㄴ다/EF + ./SF

학생들을	학생/NNG + 들/XSN + 을/JKO
수학여행	수학여행/NNG
보내기	보내/VV + 기/ETN
앞서	앞서/VV + 어/EC
가장	가장/MAG
바빠지는	바쁘/VA + 아/EC + 지/VX + 는/ETM
것은	것/NNB + 은/JX
학부모들이다.	학부모/NNG + 들/XSN + 이/VCP + 다/EF + ./SF

수학여행의	수학여행/NNG + 의/JKG
장소와	장소/NNG + 와/JC
경비,	경비/NNG + ,/SP
준비물들을	준비물/NNG + 들/XSN + 을/JKO
결정하는	결정/NNG + 하/XSV + 는/ETM
것은	것/NNB + 은/JX
학부모들이기	학부모/NNG + 들/XSN + 이/VCP + 기/ETN
때문이다.	때문/NNB + 이/VCP + 다/EF + ./SF

여행전	여행/NNG + 전/NNG
적어도	적어도/MAG
3-4	3/SN + -/SS + 4/SN
차례	차례/NNG
만나	만나/VV + 아/EC
2~3시간씩	2/SN + ~/SO + 3/SN + 시간/NNG + 씩/XSN
토론을	토론/NNG + 을/JKO
벌이는데	벌이/VV + 는데/EC
가장	가장/MAG
뜨거운	뜨겁/VA + ㄴ/ETM
논쟁거리가	논쟁/NNG + 거리/NNB + 가/JKC
되는	되/VV + 는/ETM
것이	것/NNB + 이/JKS
"용돈을	"/SS + 용돈/NNG + 을/JKO
얼마나	얼마나/MAG
줄	주/VV + ㄹ/ETM
것인가"이다.	것/NNB + 이/VCP + ㄴ가/EC + "/SS + 이/VCP + 다/EF + ./SF

국민학교	국민학교/NNG
때는	때/NNG + 는/JX
20마르크(약1만원),	20/SN + 마르크/NNG + (/SS + 약/MM + 1/SN + 만/NR + 원/NNB + )/SS + ,/SP
김나지움	김나지움/NNG
때는	때/NNG + 는/JX
30~50마르크(1만	30/SN + ~/SO + 50/SN + 마르크/NNG + (/SS + 1/SN + 만/NR
5천~2만	5/SN + 천/NR + ~/SO + 2/SN + 만/NR
5천원)가	5/SN + 천/NR + 원/NNB + )/SS + 가/JKS
일반적인데	일반/NNG + 적/XSN + 이/VCP + ㄴ데/EC
5마르크를	5/SN + 마르크/NNG + 를/JKO
덜	덜/MAG
줄	주/VV + ㄹ/ETM
지	지/EC
더	더/MAG
줄	주/VV + ㄹ/ETM
지에	지/EC + 에/JKB
대해서도	대하/VV + 아서/EC + 도/JX
온갖	온갖/MM
논리가	논리/NNG + 가/JKS
동원돼	동원/NNG + 되/XSV + 어/EC
30분	30/SN + 분/NNB
넘게	넘/VV + 게/EC
설전을	설전/NNG + 을/JKO
벌이는	벌이/VV + 는/ETM
모습을	모습/NNG + 을/JKO
쉽게	쉽/VA + 게/EC
본다.	보/VV + ㄴ다/EF + ./SF

집을	집/NNG + 을/JKO
떠나	떠나/VV + 아/EC
있는	있/VX + 는/ETM
동안	동안/NNG
불필요한	불/XPN + 필요/NNG + 하/XSA + ㄴ/ETM
돈을	돈/NNG + 을/JKO
줘서	주/VV + 어서/EC
낭비하게	낭비/NNG + 하/XSV + 게/EC
해서는	하/VX + 아서/EC + 는/JX
안	안/MAG
된다는	되/VV + ㄴ다는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

수학여행의	수학여행/NNG + 의/JKG
1주일	1/SN + 주일/NNB
일정은	일정/NNG + 은/JX
대개	대개/MAG
산책이나	산책/NNG + 이나/JC
수영,	수영/NNG + ,/SP
배구	배구/NNG
등	등/NNB
스포츠	스포츠/NNG
시간으로	시간/NNG + 으로/JKB
채워져	채우/VV + 어/EC + 지/VX + 어/EC
있다.	있/VX + 다/EF + ./SF

점심에	점심/NNG + 에/JKB
빵	빵/NNG
한	한/MM
조각	조각/NNG
먹고	먹/VV + 고/EC
3~5시간씩	3/SN + ~/SO + 5/SN + 시간/NNG + 씩/XSN
걷기도	걷/VV + 기/ETN + 도/JX
하고	하/VX + 고/EC
자전거	자전거/NNG
타는	타/VV + 는/ETM
훈련을	훈련/NNG + 을/JKO
하기도	하/VV + 기/ETN + 도/JX
한다.	하/VX + ㄴ다/EF + ./SF

계단이	계단/NNG + 이/JKS
있는	있/VV + 는/ETM
곳에서는	곳/NNG + 에서/JKB + 는/JX
자전거를	자전거/NNG + 를/JKO
들고	들/VV + 고/EC
올라가야	올라가/VV + 아야/EC
하고	하/VX + 고/EC
비가	비/NNG + 가/JKS
와도	오/VV + 아도/EC
준비를	준비/NNG + 를/JKO
안한	안/MAG + 하/VV + ㄴ/ETM
학생은	학생/NNG + 은/JX
그대로	그대로/MAG
목적지까지	목적지/NNG + 까지/JX
가야	가/VV + 아야/EC
한다.	하/VX + ㄴ다/EF + ./SF

도시에	도시/NNG + 에/JKB
사는	살/VV + 는/ETM
아이들이	아이/NNG + 들/XSN + 이/JKS
이런	이런/MM
극기	극기/NNG
훈련을	훈련/NNG + 을/JKO
받고	받/VV + 고/EC
나면	나/VX + 면/EC
정신력이	정신력/NNG + 이/JKS
강해지고	강하/VV + 아/EC + 지/VX + 고/EC
의타심도	의타심/NNG + 도/JX
없어진다고	없/VA + 어/EC + 지/VX + ㄴ다고/EC
한다.	하/VV + ㄴ다/EF + ./SF

"수학여행은	"/SS + 수학여행/NNG + 은/JX
교실에서	교실/NNG + 에서/JKB
채워줄	채우/VV + 어/EC + 주/VX + ㄹ/ETM
수	수/NNB
없는	없/VA + 는/ETM
것들을	것/NNB + 들/XSN + 을/JKO
분위기를	분위기/NNG + 를/JKO
바꿔	바꾸/VV + 어/EC
자연	자연/NNG
속에서	속/NNG + 에서/JKB
익히는	익히/VV + 는/ETM
산	살/VV + ㄴ/ETM
교육	교육/NNG
코스"라고	코스/NNG + "/SS + 라고/JKQ
교사들은	교사/NNG + 들/XSN + 은/JX
말한다.	말/NNG + 하/XSV + ㄴ다/EF + ./SF

마을	마을/NNG
민속박물관에	민속/NNG + 박물관/NNG + 에/JKB
가서	가/VV + 아서/EC
옛날	옛날/NNG
농기구나	농기구/NNG + 나/JC
생활도구등을	생활/NNG + 도구/NNG + 등/NNB + 을/JKO
견학하는	견학/NNG + 하/XSV + 는/ETM
것도	것/NNB + 도/JX
필수	필수/NNG
코스다.	코스/NNG + 이/VCP + 다/EF + ./SF

국민학교에	국민학교/NNG + 에/JKB
들어가면	들어가/VV + 면/EC
자신이	자신/NNG + 이/JKS
사는	살/VV + 는/ETM
동네	동네/NNG
역사부터	역사/NNG + 부터/JX
배우는	배우/VV + 는/ETM
독일학생들은	독일/NNP + 학생/NNG + 들/XSN + 은/JX
이렇게	이렇/VA + 게/EC
수학여행때	수학여행/NNG + 때/NNG
다른	다른/MM
동네에	동네/NNG + 에/JKB
가서도	가/VV + 아서/EC + 도/JX
꼭	꼭/MAG
박물관을	박물관/NNG + 을/JKO
방문해	방문/NNG + 하/XSV + 아/EC
그곳	그곳/NP
역사를	역사/NNG + 를/JKO
살펴보고	살펴보/VV + 고/EC
신기하게	신기/XR + 하/XSA + 게/EC
느낀	느끼/VV + ㄴ/ETM
점을	점/NNG + 을/JKO
그림으로	그림/NNG + 으로/JKB
그리거나	그리/VV + 거나/EC
토론을	토론/NNG + 을/JKO
통해	통하/VV + 아/EC
배운다는	배우/VV + ㄴ다는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

젊은	젊/VA + 은/ETM
주부들을	주부/NNG + 들/XSN + 을/JKO
잡아라.	잡/VV + 아라/EF + ./SF

요즘	요즘/NNG
20~30대	20/SN + ~/SO + 30/SN + 대/NNB
주부들을	주부/NNG + 들/XSN + 을/JKO
겨냥한	겨냥/NNG + 하/XSV + ㄴ/ETM
문화센터들의	문화/NNG + 센터/NNG + 들/XSN + 의/JKG
이색	이색/NNG
강좌가	강좌/NNG + 가/JKS
쏟아지고	쏟아지/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

누드	누드/NNG
크로키,	크로키/NNG + ,/SP
연말	연말/NNG
연시	연시/NNG
자기	자기/NP
연출법,	연출/NNG + 법/NNG + ,/SP
선물포장법,	선물/NNG + 포장/NNG + 법/NNG + ,/SP
가정	가정/NNG
비디오	비디오/NNG
촬영,	촬영/NNG + ,/SP
즐거운	즐겁/VA + ㄴ/ETM
해외	해외/NNG
여행을	여행/NNG + 을/JKO
위한	위하/VV + ㄴ/ETM
영어	영어/NNP
교실,	교실/NNG + ,/SP
액세서리	액세서리/NNG
디자인,	디자인/NNG + ,/SP
부모	부모/NNG
역할	역할/NNG
훈련,	훈련/NNG + ,/SP
풍수지리,	풍수지리/NNG + ,/SP
엄마가	엄마/NNG + 가/JKS
만드는	만들/VV + 는/ETM
인형	인형/NNG
교실….	교실/NNG + …/SE + ./SF

플루트,	플루트/NNG + ,/SP
바이올린,	바이올린/NNG + ,/SP
피아노,	피아노/NNG + ,/SP
크로마	크로마/NNG
하프와	하프/NNG + 와/JKB
같은	같/VA + 은/ETM
클래식	클래식/NNG
악기	악기/NNG
강좌도	강좌/NNG + 도/JX
이들에게	이/NP + 들/XSN + 에게/JKB
인기를	인기/NNG + 를/JKO
끌고	끌/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

"2~3년	"/SS + 2/SN + ~/SO + 3/SN + 년/NNB
전만	전/NNG + 만/JX
해도	하/VV + 아도/EC
시간	시간/NNG
여유가	여유/NNG + 가/JKS
많은	많/VA + 은/ETM
중년주부들이	중년/NNG + 주부/NNG + 들/XSN + 이/JKS
주로	주로/MAG
문화센터를	문화/NNG + 센터/NNG + 를/JKO
찾았는데	찾/VV + 았/EP + 는데/EC
요즘은	요즘/NNG + 은/JX
결혼	결혼/NNG
후에도	후/NNG + 에/JKB + 도/JX
자기	자기/NP
생활을	생활/NNG + 을/JKO
찾으려는	찾/VV + 으려는/ETM
젊은	젊/VA + 은/ETM
여성들이	여성/NNG + 들/XSN + 이/JKS
전체의	전체/NNG + 의/JKG
30~40%를	30/SN + ~/SO + 40/SN + %/SW + 를/JKO
차지한다"고	차지/NNG + 하/XSV + ㄴ다/EC + "/SS + 고/JKQ
잠실	잠실/NNP
롯데백화점	롯데백화점/NNP
문화센터	문화/NNG + 센터/NNG
이용우	이용우/NNP
씨는	씨/NNB + 는/JX
말한다.	말/NNG + 하/XSV + ㄴ다/EF + ./SF

노래교실,	노래/NNG + 교실/NNG + ,/SP
수지침,	수지침/NNG + ,/SP
서예,	서예/NNG + ,/SP
홈패션	홈패션/NNG
등은	등/NNB + 은/JX
이젠	이제/NNG + ㄴ/JX
'고전적인	'/SS + 고전/NNG + 적/XSN + 이/VCP + ㄴ/ETM
메뉴'가	메뉴/NNG + '/SS + 가/JKC
돼버렸고,	되/VV + 어/EC + 버리/VX + 었/EP + 고/EC + ,/SP
아주	아주/MAG
개성	개성/NNG
있는	있/VV + 는/ETM
취미나	취미/NNG + 나/JC
자녀교육과	자녀/NNG + 교육/NNG + 과/JKB
관련된	관련/NNG + 되/XSV + ㄴ/ETM
강좌를	강좌/NNG + 를/JKO
내놓지	내놓/VV + 지/EC
않으면	않/VX + 으면/EC
신세대	신/XPN + 세대/NNG
주부의	주부/NNG + 의/JKG
감각을	감각/NNG + 을/JKO
충족하기	충족/NNG + 하/XSV + 기/ETN
힘들게	힘들/VA + 게/EC
됐다는	되/VV + 었/EP + 다는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

육아	육아/NNG
때문에	때문/NNB + 에/JKB
외출이	외출/NNG + 이/JKS
힘든	힘들/VA + ㄴ/ETM
젊은	젊/VA + 은/ETM
주부들을	주부/NNG + 들/XSN + 을/JKO
위해	위하/VV + 아/EC
아예	아예/MAG
유아와	유아/NNG + 와/JKB
함께	함께/MAG
참여하는	참여/NNG + 하/XSV + 는/ETM
프로그램을	프로그램/NNG + 을/JKO
만드는	만들/VV + 는/ETM
곳도	곳/NNG + 도/JX
늘고	늘/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

서울	서울/NNP
신촌	신촌/NNP
그레이스문화센터는	그레이스문화센터/NNP + 는/JX
'엄마와	'/SS + 엄마/NNG + 와/JKB
함께	함께/MAG
아기놀이'강좌	아기/NNG + 놀이/NNG + '/SS + 강좌/NNG
시리즈(미술,	시리즈/NNG + (/SS + 미술/NNG + ,/SP
노래,	노래/NNG + ,/SP
종이접기	종이/NNG + 접/VV + 기/ETN
등)를	등/NNB + )/SS + 를/JKO
뒀으며,	두/VV + 었/EP + 으며/EC + ,/SP
계몽문화센터는	계몽문화센터/NNP + 는/JX
'가족이	'/SS + 가족/NNG + 이/JKS
함께	함께/MAG
하는	하/VV + 는/ETM
예술감상'	예술/NNG + 감상/NNG + '/SS
강좌를	강좌/NNG + 를/JKO
신설했다.	신설/NNG + 하/XSV + 았/EP + 다/EF + ./SF

'가족이	'/SS + 가족/NNG + 이/JKS
함께…'는	함께/MAG + …/SE + '/SS + 는/JX
예술공연,	예술/NNG + 공연/NNG + ,/SP
영화,	영화/NNG + ,/SP
미술전시회	미술/NNG + 전시회/NNG
등을	등/NNB + 을/JKO
부모와	부모/NNG + 와/JC
자녀가	자녀/NNG + 가/JKS
함께	함께/MAG
감상하고	감상/NNG + 하/XSV + 고/EC
전문가의	전문가/NNG + 의/JKG
설명을	설명/NNG + 을/JKO
듣고	듣/VV + 고/EC
토론한다.	토론/NNG + 하/XSV + ㄴ다/EF + ./SF

미아리	미아리/NNP
신세계백화점	신세계백화점/NNP
볼링	볼링/NNG
교실도	교실/NNG + 도/JX
신세대	신/XPN + 세대/NNG
주부들이	주부/NNG + 들/XSN + 이/JKS
남편,	남편/NNG + ,/SP
자녀와	자녀/NNG + 와/JKB
함께	함께/MAG
참가하도록	참가/NNG + 하/XSV + 도록/EC
'일요	'/SS + 일요/NNG
가족	가족/NNG
볼링	볼링/NNG
교실'을	교실/NNG + '/SS + 을/JKO
따로	따로/MAG
신설했다고	신설/NNG + 하/XSV + 았/EP + 다고/EC
이곳	이곳/NP
김인숙	김인숙/NNP
실장은	실장/NNG + 은/JX
말한다.	말/NNG + 하/XSV + ㄴ다/EF + ./SF

젊은	젊/VA + 은/ETM
주부들은	주부/NNG + 들/XSN + 은/JX
강좌에	강좌/NNG + 에/JKB
개인적으로	개인/NNG + 적/XSN + 으로/JKB
참여하는데	참여/NNG + 하/XSV + 는/ETM + 데/NNB
그치지	그치/VV + 지/EC
않고,	않/VX + 고/EC + ,/SP
수강생들끼리	수강/NNG + 생/XSN + 들/XSN + 끼리/XSN
친목모임을	친목/NNG + 모임/NNG + 을/JKO
만들거나	만들/VV + 거나/EC
발표회도	발표회/NNG + 도/JX
갖는데도	갖/VV + 는데/EC + 도/JX
적극적이다.	적극/NNG + 적/XSN + 이/VCP + 다/EF + ./SF

최근	최근/NNG
신세계문화센터	신세계문화센터/NNP
수강생들은	수강/NNG + 생/XSN + 들/XSN + 은/JX
삼성생명빌딩	삼성생명/NNP + 빌딩/NNG
국제회의실에서	국제/NNG + 회의실/NNG + 에서/JKB
한국무용,	한국/NNP + 무용/NNG + ,/SP
가곡,	가곡/NNG + ,/SP
플루트	플루트/NNG
연주,	연주/NNG + ,/SP
연극등	연극/NNG + 등/NNB
종합발표회를	종합/NNG + 발표회/NNG + 를/JKO
가졌다.	가지/VV + 었/EP + 다/EF + ./SF

플루트	플루트/NNG
연주에	연주/NNG + 에/JKB
참석한	참석/NNG + 하/XSV + ㄴ/ETM
박경숙씨(31·서울	박경숙/NNP + 씨/NNB + (/SS + 31/SN + ·/SP + 서울/NNP
성북구	성북구/NNP
장위1동)는	장위/NNP + 1/SN + 동/NNG + )/SS + 는/JX
"집에선	"/SS + 집/NNG + 에서/JKB + ㄴ/JX
저의	저/NP + 의/JKG
플루트	플루트/NNG
반주에	반주/NNG + 에/JKB
따라	따르/VV + 아/EC
남편과	남편/NNG + 과/JC
아이들이	아이/NNG + 들/XSN + 이/JKS
노래를	노래/NNG + 를/JKO
하면	하/VV + 면/EC
집안	집안/NNG
분위기가	분위기/NNG + 가/JKS
활기를	활기/NNG + 를/JKO
띠게	띠/VV + 게/EC
된다"고	되/VV + ㄴ다/EC + "/SS + 고/JKQ
말한다.	말/NNG + 하/XSV + ㄴ다/EF + ./SF

현대백화점	현대백화점/NNP
문화센터의	문화/NNG + 센터/NNG + 의/JKG
주부	주부/NNG
컴퓨터	컴퓨터/NNG
교실은	교실/NNG + 은/JX
40~50	40/SN + ~/SO + 50/SN
명이	명/NNB + 이/JKS
주부	주부/NNG
동호회를	동호회/NNG + 를/JKO
만들어	만들/VV + 어/EC
2년째	2/SN + 년/NNB + 째/XSN
친목을	친목/NNG + 을/JKO
다지고	다지/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

매일	매일/MAG
마시는	마시/VV + 는/ETM
술은	술/NNG + 은/JX
뼈에	뼈/NNG + 에/JKB
치명적인	치명/NNG + 적/XSN + 이/VCP + ㄴ/ETM
영향을	영향/NNG + 을/JKO
미치는	미치/VV + 는/ETM
수가	수/NNB + 가/JKS
있다.	있/VV + 다/EF + ./SF

의사로서	의사/NNG + 로서/JKB
가끔	가끔/MAG
경험하는	경험/NNG + 하/XSV + 는/ETM
일이지만	일/NNG + 이/VCP + 지만/EC
50대	50/SN + 대/NNB
전후에	전후/NNG + 에/JKB
다리를	다리/NNG + 를/JKO
움직이거나	움직이/VV + 거나/EC
걸으려고	걷/VV + 으려고/EC
할	하/VX + ㄹ/ETM
때	때/NNG
고관절부위에	고관절/NNG + 부위/NNG + 에/JKB
둔한	둔하/VA + ㄴ/ETM
통증이	통증/NNG + 이/JKS
심해져	심하/VA + 아/EC + 지/VX + 어/EC
병원을	병원/NNG + 을/JKO
찾는	찾/VV + 는/ETM
사람들이	사람/NNG + 들/XSN + 이/JKS
있다.	있/VV + 다/EF + ./SF

진찰을	진찰/NNG + 을/JKO
해	하/VV + 아/EC
보면	보/VX + 면/EC
이	이/MM
부위의	부위/NNG + 의/JKG
뼈가	뼈/NNG + 가/JKS
괴사되고	괴사/NNG + 되/XSV + 고/EC
있는	있/VX + 는/ETM
경우다.	경우/NNG + 이/VCP + 다/EF + ./SF

이들은	이/NP + 들/XSN + 은/JX
대개	대개/MAG
하루의	하루/NNG + 의/JKG
스트레스를	스트레스/NNG + 를/JKO
술로	술/NNG + 로/JKB
해소해	해소/NNG + 하/XSV + 아/EC
보려고	보/VX + 려고/EC
매일	매일/MAG
저녁	저녁/NNG
반주를	반주/NNG + 를/JKO
들었다는	듣/VV + 었/EP + 다는/ETM
사람들이	사람/NNG + 들/XSN + 이/JKS
많다.	많/VA + 다/EF + ./SF

사람들은	사람/NNG + 들/XSN + 은/JX
술	술/NNG
하면	하/VV + 면/EC
일차적으로	일차/NNG + 적/XSN + 으로/JKB
혈액순환을	혈액/NNG + 순환/NNG + 을/JKO
좋게	좋/VA + 게/EC
해	하/VX + 아/EC
주는	주/VX + 는/ETM
것으로	것/NNB + 으로/JKB
알고	알/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

사실은	사실/NNG + 은/JX
뼈의	뼈/NNG + 의/JKG
혈액순환을	혈액/NNG + 순환/NNG + 을/JKO
차단하여	차단/NNG + 하/XSV + 아/EC
뼈를	뼈/NNG + 를/JKO
괴사시키는	괴사/NNG + 시키/XSV + 는/ETM
작용을	작용/NNG + 을/JKO
한다.	하/VV + ㄴ다/EF + ./SF

이	이/MM
경우	경우/NNG
여러가지	여러/MM + 가지/NNB
치료를	치료/NNG + 를/JKO
해	하/VV + 아/EC
보지만	보/VX + 지만/EC
결국	결국/NNG
인공	인공/NNG
삽입물로	삽입물/NNG + 로/JKB
대체하는	대체/NNG + 하/XSV + 는/ETM
것이	것/NNB + 이/JKS
대부분이다.	대부분/NNG + 이/VCP + 다/EF + ./SF

건강미	건강미/NNG
넘치는	넘치/VV + 는/ETM
날씬함은	날씬/XR + 하/XSA + ㅁ/ETN + 은/JX
모든	모든/MM
여성의	여성/NNG + 의/JKG
바람.	바람/NNG + ./SF

그러나	그러나/MAJ
여성의	여성/NNG + 의/JKG
몸매는	몸매/NNG + 는/JX
20대와	20/SN + 대/NNB + 와/JC
30,	30/SN + ,/SP
40대로	40/SN + 대/NNB + 로/JKB
넘어가며	넘어가/VV + 며/EC
탄력을	탄력/NNG + 을/JKO
잃고	잃/VV + 고/EC
근육이나	근육/NNG + 이나/JC
뼈,	뼈/NNG + ,/SP
심장의	심장/NNG + 의/JKG
힘도	힘/NNG + 도/JX
약해지는	약하/VA + 아/EC + 지/VX + 는/ETM
것이	것/NNB + 이/JKS
보통이다.	보통/NNG + 이/VCP + 다/EF + ./SF

'나이에	'/SS + 나이/NNG + 에/JKB
맞는	맞/VV + 는/ETM
운동법을	운동/NNG + 법/NNG + 을/JKO
찾아라'.	찾/VV + 아라/EC + '/SS + ./SF

최근	최근/NNG
미국의	미국/NNP + 의/JKG
'글래머'지가	'/SS + 글래머/NNG + '/SS + 지/NNG + 가/JKS
소개한	소개/NNG + 하/XSV + ㄴ/ETM
건강한	건강/NNG + 하/XSA + ㄴ/ETM
몸매를	몸매/NNG + 를/JKO
가꾸는	가꾸/VV + 는/ETM
연령별	연령/NNG + 별/XSN
운동법을	운동/NNG + 법/NNG + 을/JKO
소개한다.	소개/NNG + 하/XSV + ㄴ다/EF + ./SF

▴	▴/SW
20대	20/SN + 대/NNB
=	=/SW
몸매	몸매/NNG
가꾸기의	가꾸/VV + 기/ETN + 의/JKG
최적기.	최/XPN + 적기/NNG + ./SF

운동과	운동/NNG + 과/JC
식이요법이	식이/NNG + 요법/NNG + 이/JKS
금방	금방/MAG
효과를	효과/NNG + 를/JKO
나타내	나타내/VV + 어/EC
몸무게	몸무게/NNG
조절이	조절/NNG + 이/JKS
가장	가장/MAG
쉬운	쉽/VA + ㄴ/ETM
때다.	때/NNG + 이/VCP + 다/EF + ./SF

그러나	그러나/MAJ
지나친	지나치/VA + ㄴ/ETM
다이어트는	다이어트/NNG + 는/JX
뼈의	뼈/NNG + 의/JKG
약화와	약화/NNG + 와/JC
생리	생리/NNG
이상을	이상/NNG + 을/JKO
가져	가지/VV + 어/EC
올	오/VX + ㄹ/ETM
수	수/NNB
있으므로	있/VV + 으므로/EC
식사와	식사/NNG + 와/JC
운동의	운동/NNG + 의/JKG
균형이	균형/NNG + 이/JKS
중요하다.	중요/NNG + 하/XSA + 다/EF + ./SF

이	이/MM
때는	때/NNG + 는/JX
근육,	근육/NNG + ,/SP
뼈,	뼈/NNG + ,/SP
심장이	심장/NNG + 이/JKS
모두	모두/MAG
튼튼하므로	튼튼/XR + 하/XSA + 므로/EC
달리기,	달리기/NNG + ,/SP
암벽등반,	암벽/NNG + 등반/NNG + ,/SP
농구,	농구/NNG + ,/SP
복싱,	복싱/NNG + ,/SP
에어로빅,	에어로빅/NNG + ,/SP
테니스	테니스/NNG
등	등/NNB
금방	금방/MAG
숨이	숨/NNG + 이/JKS
차	차/VV + 아/EC
오르는	오르/VV + 는/ETM
강도	강도/NNG
있는	있/VV + 는/ETM
운동을	운동/NNG + 을/JKO
1주일에	1/SN + 주일/NNB + 에/JKB
3~5번,	3/SN + ~/SO + 5/SN + 번/NNB + ,/SP
한	한/MM
번에	번/NNB + 에/JKB
20분	20/SN + 분/NNB
이상	이상/NNG
하라고	하/VV + 라고/EC
데이비드	데이비드/NNP
니만박사는	니만/NNP + 박사/NNG + 는/JX
권한다.	권하/VV + ㄴ다/EF + ./SF

열량을	열량/NNG + 을/JKO
쉽게	쉽/VA + 게/EC
소비할	소비/NNG + 하/XSV + ㄹ/ETM
뿐	뿐/NNB
아니라	아니/VCN + 라/EC
25살	25/SN + 살/NNB
이후	이후/NNG
떨어지는	떨어지/VV + 는/ETM
심장과	심장/NNG + 과/JC
폐의	폐/NNG + 의/JKG
기능을	기능/NNG + 을/JKO
40대까지	40/SN + 대/NNB + 까지/JX
건강하게	건강/NNG + 하/XSA + 게/EC
유지할	유지/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있다는	있/VV + 다는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

달리기,	달리기/NNG + ,/SP
에어로빅	에어로빅/NNG
등	등/NNB
뼈운동은	뼈/NNG + 운동/NNG + 은/JX
폐경기	폐경기/NNG
후	후/NNG
찾아오는	찾아오/VV + 는/ETM
골다공증을	골다공증/NNG + 을/JKO
예방하는데도	예방/NNG + 하/XSV + 는데/EC + 도/JX
좋다.	좋/VA + 다/EF + ./SF

몸의	몸/NNG + 의/JKG
유연성을	유연/XR + 성/XSN + 을/JKO
위해서는	위하/VV + 아서/EC + 는/JX
잠자기	잠자/VV + 기/ETN
전	전/NNG
10분간	10/SN + 분/NNB + 간/NNB
스트레치	스트레치/NNG
체조를	체조/NNG + 를/JKO
한다.	하/VV + ㄴ다/EF + ./SF

▴	▴/SW
30대	30/SN + 대/NNB
=	=/SW
직장일과	직장/NNG + 일/NNG + 과/JC
살림,	살림/NNG + ,/SP
육아때문에	육아/NNG + 때문/NNB + 에/JKB
운동에	운동/NNG + 에/JKB
시간을	시간/NNG + 을/JKO
내기	내/VV + 기/ETN
가장	가장/MAG
어려운	어렵/VA + ㄴ/ETM
때.	때/NNG + ./SF

그러나	그러나/MAJ
근육의	근육/NNG + 의/JKG
힘,	힘/NNG + ,/SP
유연성이	유연/XR + 성/XSN + 이/JKS
점점	점점/MAG
떨어지고,	떨어지/VV + 고/EC + ,/SP
몸이	몸/NNG + 이/JKS
불어나기	불어나/VV + 기/ETN
쉬운	쉽/VA + ㄴ/ETM
'위험기'라	'/SS + 위험기/NNG + '/SS + 이/VCP + 라/EC
운동	운동/NNG
계획을	계획/NNG + 을/JKO
꼭	꼭/MAG
세워야	세우/VV + 어야/EC
한다고	하/VX + ㄴ다고/EC
대리얼	대리얼/NNP
코시크	코시크/NNP
박사는	박사/NNG + 는/JX
말한다.	말/NNG + 하/XSV + ㄴ다/EF + ./SF

근육	근육/NNG
전체를	전체/NNG + 를/JKO
사용하도록	사용/NNG + 하/XSV + 도록/EC
수영,	수영/NNG + ,/SP
테니스	테니스/NNG
등	등/NNB
